,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation,averagerating,numvotes,release_date_CH,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,genre_ids
0,foodfight!,tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",26,2012-12-31,Foodfight!,45000000,0,73706,73706,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,1.9,8248.0,,,,,,,
1,mortal kombat,tt0293429,Mortal Kombat,Mortal Kombat,2021,,"Action,Adventure,Fantasy",10,1995-08-18,Mortal Kombat,20000000,70433227,122133227,51700000,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,,,,,,,,,
2,the overnight,tt0326592,The Overnight,The Overnight,2010,88.0,,21,2015-06-19,The Overnight,200000,1109808,1165996,56188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,24.0,,,,,,,
3,on the road,tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",17,2013-03-22,On the Road,25000000,720828,9313302,8592474,On the Road,IFC,744000.0,8000000.0,2012.0,8744000.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6.1,37886.0,,,,,,,
4,the secret life of walter mitty,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",37,2013-12-25,The Secret Life of Walter Mitty,91000000,58236838,187861183,129624345,The Secret Life of Walter Mitty,Fox,58200000.0,129900000.0,2013.0,188100000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,7.3,275300.0,"Dec 25, 2013",The Secret Life of Walter Mitty,91.0,58.0,187.0,129.0,"[adventure, comedy, drama, fantasy]"
5,a walk among the tombstones,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",67,2014-09-19,A Walk Among the Tombstones,28000000,26017685,62108587,36090902,A Walk Among the Tombstones,Uni.,26300000.0,26900000.0,2014.0,53200000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6.5,105116.0,"Sep 19, 2014",A Walk Among the Tombstones,28.0,26.0,62.0,36.0,"[crime, drama, mystery, thriller]"
6,jurassic world,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",34,2015-06-12,Jurassic World,215000000,652270625,1648854864,996584239,Jurassic World,Uni.,652300000.0,1019.0,2015.0,652301019.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,7.0,539338.0,"Jun 12, 2015",Jurassic World,215.0,652.0,1648.0,996.0,"[action, adventure, sci-fi, thriller]"
7,the rum diary,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",16,2011-10-28,The Rum Diary,45000000,13109815,21544732,8434917,The Rum Diary,FD,13100000.0,10800000.0,2011.0,23900000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.2,94787.0,"Oct 28, 2011",The Rum Diary,45.0,13.0,21.0,8.0,"[drama, comedy]"
8,the three stooges,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",4,2012-04-13,The Three Stooges,30000000,44338224,54052249,9714025,The Three Stooges,Fox,44300000.0,10500000.0,2012.0,54800000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,5.1,28570.0,"Apr 13, 2012",The Three Stooges,30.0,44.0,54.0,10.0,[comedy]
9,andersons cross,tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",65,2010-12-31,Anderson's Cross,300000,0,0,0,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.5,106.0,,,,,,,
10,tangled,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",15,2010-11-24,Tangled,260000000,200821936,586477240,385655304,Tangled,BV,200800000.0,391000000.0,2010.0,591800000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,7.8,366366.0,"Nov 24, 2010",Tangled,260.0,200.0,586.0,386.0,"[animation, family]"
11,john carter,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",14,2012-03-09,John Carter,275000000,73058679,282778100,209719421,John Carter,BV,73100000.0,211100000.0,2012.0,284200000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,6.6,241792.0,"Mar 9, 2012",John Carter,275.0,73.0,282.0,209.0,"[action, adventure, sci-fi]"
12,action jackson,tt0403935,Action Jackson,Action Jackson,2014,144.0,"Action,Thriller",8,1988-02-12,Action Jackson,7000000,20257000,20257000,0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3.3,2862.0,,,,,,,
13,dinner for schmucks,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,51,2010-07-30,Dinner for Schmucks,69000000,73026337,86796502,13770165,Dinner for Schmucks,P/DW,73000000.0,13800000.0,2010.0,86800000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.9,91546.0,"Jul 30, 2010",Dinner for Schmucks,69.0,73.0,86.0,13.0,[comedy]
14,the a-team,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",32,2010-06-11,The A-Team,110000000,77222099,177241171,100019072,The A-Team,Fox,77200000.0,100000000.0,2010.0,177200000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,6.8,235256.0,"Jun 11, 2010",The A-Team,110.0,77.0,177.0,100.0,"[thriller, action, adventure, comedy, crime]"
15,the possession,tt0431021,The Possession,The Possession,2012,92.0,"Horror,Mystery,Thriller",81,2012-08-31,The Possession,14000000,49130588,82925064,33794476,The Possession,LGF,49100000.0,36300000.0,2012.0,85400000.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,5.9,53649.0,"Aug 31, 2012",The Possession,14.0,49.0,82.0,33.0,"[horror, thriller]"
16,real steel,tt0433035,Real Steel,Real Steel,2011,127.0,"Action,Drama,Family",31,2011-10-07,Real Steel,110000000,85463309,263880341,178417032,Real Steel,BV,85500000.0,213800000.0,2011.0,299300000.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,7.1,283534.0,"Oct 7, 2011",Real Steel,110.0,85.0,263.0,178.0,"[action, sci-fi, drama]"
17,the giver,tt0435651,The Giver,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",2,2014-08-15,The Giver,25000000,45090374,66540205,21449831,The Giver,Wein.,45100000.0,21900000.0,2014.0,67000000.0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.5,104999.0,"Aug 15, 2014",The Giver,25.0,45.0,66.0,21.0,"[drama, sci-fi]"
18,toy story 3,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",47,2010-06-18,Toy Story 3,200000000,415004880,1068879522,653874642,Toy Story 3,BV,415000000.0,652000000.0,2010.0,1067000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,8.3,682218.0,"Jun 18, 2010",Toy Story 3,200.0,415.0,1068.0,653.0,"[animation, family, comedy]"
19,alita: battle angel,tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi",24,2019-02-14,Alita: Battle Angel,170000000,85710210,402976036,317265826,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,7.5,88207.0,,,,,,,
20,lincoln,tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",73,2012-11-09,Lincoln,65000000,182207973,273346281,91138308,Lincoln,BV,182200000.0,93100000.0,2012.0,275300000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.4,228701.0,"Nov 9, 2012",Lincoln,65.0,182.0,273.0,91.0,"[history, drama]"
21,before we go,tt0443465,Before We Go,Before We Go,2014,95.0,"Comedy,Drama,Romance",52,2015-09-04,Before We Go,3000000,37151,483938,446787,Before We Go,RTWC,37200.0,,2015.0,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.8,45181.0,,,,,,,
22,the history of love,tt0443533,The History of Love,The History of Love,2016,134.0,"Drama,Romance,War",12,2016-11-18,The History of Love,20000000,0,476624,476624,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.3,1024.0,,,,,,,
23,scott pilgrim vs. the world,tt0446029,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",22,2010-08-13,Scott Pilgrim vs. The World,85000000,31611316,48056764,16445448,Scott Pilgrim vs. the World,Uni.,31500000.0,16100000.0,2010.0,47600000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,7.5,339338.0,,,,,,,
24,shazam!,tt0448115,Shazam!,Shazam!,2019,132.0,"Action,Adventure,Comedy",97,2019-04-05,Shazam!,85000000,139606856,362899733,223292877,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,7.4,109051.0,,,,,,,
25,puss in boots,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",46,2011-10-28,Puss in Boots,130000000,149260504,554987477,405726973,Puss in Boots,P/DW,149300000.0,405700000.0,2011.0,555000000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,6.6,133355.0,"Oct 28, 2011",Puss in Boots,130.0,149.0,554.0,405.0,"[action, adventure, animation, family, fantasy, comedy]"
26,wonder woman,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",55,2017-06-02,Wonder Woman,150000000,412563408,821133378,408569970,Wonder Woman,WB,412600000.0,409300000.0,2017.0,821900000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,7.5,487527.0,,,,,,,
27,42,tt0453562,42,42,2013,128.0,"Biography,Drama,Sport",22,2013-04-12,42,31000000,95020213,97470701,2450488,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.5,77703.0,"Apr 12, 2013",42,31.0,95.0,97.0,2.0,[drama]
28,life of pi,tt0454876,Life of Pi,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",88,2012-11-21,Life of Pi,120000000,124987022,620912003,495924981,Life of Pi,Fox,125000000.0,484000000.0,2012.0,609000000.0,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,7.9,535836.0,"Nov 21, 2012",Life of Pi,120.0,124.0,620.0,496.0,"[adventure, drama, action]"
29,the crazies,tt0455407,The Crazies,The Crazies,2010,101.0,"Horror,Thriller",36,2010-02-26,The Crazies,19000000,39123589,56445534,17321945,The Crazies,Over.,39100000.0,15700000.0,2010.0,54800000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6.5,104465.0,"Feb 26, 2010",The Crazies,19.0,39.0,56.0,17.0,"[mystery, horror, action]"
30,the equalizer,tt0455944,The Equalizer,The Equalizer,2014,132.0,"Action,Crime,Thriller",96,2014-09-26,The Equalizer,55000000,101530738,192903624,91372886,The Equalizer,Sony,101500000.0,90800000.0,2014.0,192300000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,7.2,302302.0,"Sep 26, 2014",The Equalizer,55.0,101.0,192.0,91.0,"[thriller, action, crime]"
31,captain america: the first avenger,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",10,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,193915271,Captain America: The First Avenger,Par.,176700000.0,193900000.0,2011.0,370600000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,6.9,668137.0,"Jul 22, 2011",Captain America: The First Avenger,140.0,176.0,370.0,194.0,"[action, adventure, sci-fi]"
32,sin city: a dame to kill for,tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",16,2014-08-22,Sin City: A Dame to Kill For,65000000,13757804,40650842,26893038,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6.5,140666.0,"Aug 22, 2014",Sin City: A Dame to Kill For,65.0,13.0,40.0,27.0,"[crime, thriller]"
33,house at the end of the drive,tt0464054,House at the End of the Drive,House at the End of the Drive,2014,91.0,"Horror,Thriller",28,2014-12-31,House at the End of the Drive,1400000,0,0,0,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6.5,331.0,,,,,,,
34,piranha 3d,tt0464154,Piranha 3D,Piranha 3D,2010,88.0,"Comedy,Horror",52,2010-08-20,Piranha 3D,24000000,25003155,83660160,58657005,Piranha 3D,W/Dim.,25000000.0,58200000.0,2010.0,83200000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.4,81327.0,"Aug 20, 2010",Piranha 3D,24.0,25.0,83.0,58.0,"[comedy, horror]"
35,margaret,tt0466893,Margaret,Margaret,2011,150.0,Drama,27,2011-09-30,Margaret,14000000,47185,623292,576107,Margaret,FoxS,46500.0,,2011.0,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.5,14708.0,,,,,,,
36,ex machina,tt0470752,Ex Machina,Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",72,2015-04-10,Ex Machina,13000000,25440971,38358392,12917421,Ex Machina,A24,25400000.0,11400000.0,2015.0,36800000.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.7,424542.0,"Apr 10, 2015",Ex Machina,13.0,25.0,38.0,13.0,"[drama, sci-fi]"
37,tower heist,tt0471042,Tower Heist,Tower Heist,2011,104.0,"Action,Comedy,Crime",5,2011-11-04,Tower Heist,85000000,78046570,150422946,72376376,Tower Heist,Uni.,78000000.0,74900000.0,2011.0,152900000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,6.2,125102.0,"Nov 4, 2011",Tower Heist,85.0,78.0,150.0,72.0,"[action, comedy]"
38,the smurfs,tt0472181,The Smurfs,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",20,2011-07-29,The Smurfs,110000000,142614158,563749323,421135165,The Smurfs,Sony,142600000.0,421100000.0,2011.0,563700000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,5.5,77577.0,"Jul 29, 2011",The Smurfs,110.0,142.0,563.0,421.0,"[animation, family, adventure, comedy, fantasy]"
39,the mechanic,tt0472399,The Mechanic,The Mechanic,2011,93.0,"Action,Crime,Thriller",42,2011-01-28,The Mechanic,42500000,29121498,76347393,47225895,The Mechanic,CBS,29100000.0,47000000.0,2011.0,76100000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,6.6,141254.0,"Jan 28, 2011",The Mechanic,42.0,29.0,76.0,47.0,"[action, thriller, crime]"
40,"hail, caesar!",tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106.0,"Comedy,Drama,Music",22,2016-02-05,"Hail, Caesar!",22000000,30080225,64160680,34080455,"Hail, Caesar!",Uni.,30500000.0,33100000.0,2016.0,63600000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,6.3,111422.0,"Feb 5, 2016","Hail, Caesar!",22.0,30.0,64.0,34.0,"[comedy, drama, mystery]"
41,unstoppable,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",19,2010-11-12,Unstoppable,95000000,81562942,165720921,84157979,Unstoppable,Fox,81600000.0,86200000.0,2010.0,167800000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,6.8,173019.0,,,,,,,
42,the tree of life,tt0478304,The Tree of Life,The Tree of Life,2011,139.0,"Drama,Fantasy",24,2011-05-27,The Tree of Life,35000000,13305665,61721826,48416161,The Tree of Life,FoxS,13300000.0,41000000.0,2011.0,54300000.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.8,156266.0,"May 27, 2011",The Tree of Life,35.0,13.0,61.0,48.0,"[drama, fantasy]"
43,ant-man,tt0478970,Ant-Man,Ant-Man,2015,117.0,"Action,Adventure,Comedy",43,2015-07-17,Ant-Man,130000000,180202163,518858449,338656286,Ant-Man,BV,180200000.0,339100000.0,2015.0,519300000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,7.3,501213.0,"Jul 17, 2015",Ant-Man,130.0,180.0,518.0,338.0,"[sci-fi, action, adventure]"
44,season of the witch,tt0479997,Season of the Witch,Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",89,2011-01-07,Season of the Witch,40000000,24827228,91126600,66299372,Season of the Witch,Rela.,24800000.0,66800000.0,2011.0,91600000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,5.4,85777.0,"Jan 7, 2011",Season of the Witch,40.0,24.0,91.0,67.0,"[adventure, fantasy, action]"
45,the losers,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",44,2010-04-23,The Losers,25000000,23591432,29863840,6272408,The Losers,WB,23600000.0,5800000.0,2010.0,29400000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,6.4,83876.0,"Apr 23, 2010",The Losers,25.0,23.0,29.0,6.0,"[action, adventure, crime, mystery, thriller]"
46,hall pass,tt0480687,Hall Pass,Hall Pass,2011,105.0,"Comedy,Romance",57,2011-02-25,Hall Pass,68000000,45060734,87173475,42112741,Hall Pass,WB (NL),45100000.0,38100000.0,2011.0,83200000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.9,113775.0,"Feb 25, 2011",Hall Pass,68.0,45.0,87.0,42.0,"[comedy, romance]"
47,the croods,tt0481499,The Croods,The Croods,2013,98.0,"Action,Adventure,Animation",26,2013-03-22,The Croods,135000000,187168425,573068425,385900000,The Croods,Fox,187200000.0,400000000.0,2013.0,587200000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,7.2,176699.0,"Mar 22, 2013",The Croods,135.0,187.0,573.0,386.0,"[action, adventure, animation, comedy, family, fantasy]"
48,barry munday,tt0482461,Barry Munday,Barry Munday,2010,95.0,"Comedy,Drama,Romance",61,2010-10-01,Barry Munday,3000000,0,0,0,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.9,3846.0,,,,,,,
49,red tails,tt0485985,Red Tails,Red Tails,2012,125.0,"Action,Adventure,Drama",61,2012-01-20,Red Tails,58000000,49876377,50365498,489121,Red Tails,Fox,49900000.0,489000.0,2012.0,50389000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,5.9,31815.0,"Jan 20, 2012",Red Tails,58.0,49.0,50.0,1.0,"[drama, action, adventure, history, war]"
50,silence,tt0490215,Silence,Silence,2016,161.0,"Adventure,Drama,History",42,2016-12-23,Silence,46500000,7100177,23726626,16626449,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,7.2,85242.0,,,,,,,
51,something borrowed,tt0491152,Something Borrowed,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",72,2011-05-06,Something Borrowed,35000000,39046489,65084116,26037627,Something Borrowed,WB,39000000.0,21100000.0,2011.0,60100000.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.9,54314.0,"May 6, 2011",Something Borrowed,35.0,39.0,65.0,26.0,"[comedy, drama, romance]"
52,tulip fever,tt0491203,Tulip Fever,Tulip Fever,2017,105.0,"Drama,History,Romance",8,2017-09-01,Tulip Fever,25000000,2455635,6792768,4337133,Tulip Fever,Wein.,2500000.0,5900000.0,2017.0,8400000.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6.2,15037.0,"Sep 1, 2017",Tulip Fever,25.0,2.0,6.0,4.0,"[drama, romance]"
53,furry vengeance,tt0492389,Furry Vengeance,Furry Vengeance,2010,92.0,"Comedy,Family",17,2010-04-30,Furry Vengeance,35000000,17630465,39340177,21709712,Furry Vengeance,Sum.,17600000.0,18600000.0,2010.0,36200000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3.8,14700.0,"Apr 30, 2010",Furry Vengeance,35.0,17.0,39.0,22.0,"[comedy, family]"
54,chips,tt0493405,CHIPS,CHIPS,2017,100.0,"Action,Comedy,Crime",53,2017-03-24,CHiPS,25000000,18600152,23190292,4590140,CHiPs,WB,18600000.0,8199999.0,2017.0,26799999.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,6.0,37029.0,"Mar 24, 2017",CHiPS,25.0,18.0,23.0,5.0,"[action, comedy, crime]"
55,ramona and beezus,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",60,2010-07-23,Ramona and Beezus,15000000,26167002,27469621,1302619,Ramona and Beezus,Fox,26200000.0,1100000.0,2010.0,27300000.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,6.6,16086.0,"Jul 23, 2010",Ramona and Beezus,15.0,26.0,27.0,1.0,"[comedy, family]"
56,rings,tt0498381,Rings,Rings,2017,102.0,"Drama,Horror,Mystery",38,2017-02-03,Rings,25000000,27793018,82917283,55124265,Rings,Par.,27800000.0,55300000.0,2017.0,83100000.0,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.5,34151.0,"Feb 3, 2017",Rings,25.0,27.0,82.0,55.0,[horror]
57,a thousand words,tt0763831,A Thousand Words,A Thousand Words,2012,91.0,"Comedy,Drama",1,2012-03-09,A Thousand Words,40000000,18450127,20790486,2340359,A Thousand Words,P/DW,18500000.0,3600000.0,2012.0,22100000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.9,36387.0,"Mar 9, 2012",A Thousand Words,40.0,18.0,20.0,2.0,"[drama, comedy]"
58,escape from planet earth,tt0765446,Escape from Planet Earth,Escape from Planet Earth,2013,89.0,"Adventure,Animation,Comedy",28,2013-02-15,Escape From Planet Earth,40000000,57012977,74156610,17143633,Escape From Planet Earth,Wein.,57000000.0,17600000.0,2013.0,74600000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,5.9,23298.0,,,,,,,
59,whats your number?,tt0770703,What's Your Number?,What's Your Number?,2011,106.0,"Comedy,Romance",24,2011-09-30,What's Your Number?,20000000,14011084,30163785,16152701,What's Your Number?,Fox,14000000.0,16399999.0,2011.0,30399999.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.1,67922.0,,,,,,,
60,samsara,tt0770802,Samsara,Samsara,2011,102.0,"Documentary,Music",18,2012-08-24,Samsara,4000000,2672413,5966671,3294258,Samsara,Osci.,2700000.0,,2012.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,8.5,29725.0,"Aug 24, 2012",Samsara,4.0,2.0,5.0,3.0,"[drama, documentary]"
61,man of steel,tt0770828,Man of Steel,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",29,2013-06-14,Man of Steel,225000000,291045518,667999518,376954000,Man of Steel,WB,291000000.0,377000000.0,2013.0,668000000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,7.1,647288.0,"Jun 14, 2013",Man of Steel,225.0,291.0,667.0,376.0,"[action, adventure, fantasy, sci-fi]"
62,the illusionist,tt0775489,The Illusionist,L'illusionniste,2010,80.0,"Animation,Drama",22,2006-08-18,The Illusionist,16500000,39868642,83792062,43923420,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7.5,31734.0,"Aug 18, 2006",The Illusionist,16.0,39.0,83.0,44.0,"[animation, drama]"
63,drive,tt0780504,Drive,Drive,2011,100.0,"Crime,Drama",36,2011-09-16,Drive,15000000,35060689,81357930,46297241,,,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.8,521495.0,"Sep 16, 2011",Drive,15.0,35.0,81.0,46.0,"[drama, action, thriller, crime]"
64,the wolfman,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",91,2010-02-12,The Wolfman,150000000,62189884,142634358,80444474,The Wolfman,Uni.,62000000.0,77800000.0,2010.0,139800000.0,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5.8,97873.0,"Feb 12, 2010",The Wolfman,150.0,62.0,142.0,80.0,[horror]
65,the boxtrolls,tt0787474,The Boxtrolls,The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",94,2014-09-26,The Boxtrolls,60000000,50837305,111946251,61108946,The Boxtrolls,Focus,50800000.0,58400000.0,2014.0,109200000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,6.8,50763.0,"Sep 26, 2014",The Boxtrolls,60.0,50.0,111.0,61.0,"[animation, comedy, family, fantasy]"
66,the man who knew infinity,tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108.0,"Biography,Drama",67,2016-04-29,The Man Who Knew Infinity,10000000,3877922,12382122,8504200,The Man Who Knew Infinity,IFC,3900000.0,8400000.0,2016.0,12300000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2,43575.0,"Apr 29, 2016",The Man Who Knew Infinity,10.0,3.0,12.0,9.0,[drama]
67,the incredible burt wonderstone,tt0790628,The Incredible Burt Wonderstone,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",7,2013-03-15,The Incredible Burt Wonderstone,32000000,22537881,27392609,4854728,The Incredible Burt Wonderstone,WB (NL),22500000.0,4900000.0,2013.0,27400000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,5.9,67549.0,"Mar 15, 2013",The Incredible Burt Wonderstone,32.0,22.0,27.0,5.0,[comedy]
68,dallas buyers club,tt0790636,Dallas Buyers Club,Dallas Buyers Club,2013,117.0,"Biography,Drama",73,2013-11-01,Dallas Buyers Club,5000000,27298285,60611845,33313560,Dallas Buyers Club,Focus,27300000.0,27900000.0,2013.0,55200000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,402462.0,,,,,,,
