,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation,averagerating,numvotes,release_date_CH,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,genre_ids
970,bernie,tt1704573,Bernie,Bernie,2011,99.0,"Biography,Comedy,Crime",48,2012-04-27,Bernie,6000000,9204489,10106975,902486,Bernie,MNE,9200000.0,,2012.0,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,6.8,53765.0,,,,,,,
971,tarzan,tt1705952,Tarzan,Tarzan,2013,94.0,"Adventure,Animation,Drama",100,1999-06-16,Tarzan,145000000,171091819,448191819,277100000,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,4.8,11728.0,"Jun 16, 1999",Tarzan,145.0,171.0,448.0,277.0,"[animation, action, adventure, family]"
972,chronicle,tt1706593,Chronicle,Chronicle,2012,84.0,"Drama,Sci-Fi,Thriller",55,2012-02-03,Chronicle,12000000,64575175,123681790,59106615,,,,,,,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,7.1,229258.0,"Feb 3, 2012",Chronicle,12.0,64.0,123.0,59.0,"[sci-fi, drama, thriller]"
973,snowpiercer,tt1706620,Snowpiercer,Snowpiercer,2013,126.0,"Action,Drama,Sci-Fi",27,2014-06-27,Snowpiercer,40000000,4563029,88069880,83506851,Snowpiercer,RTWC,4600000.0,82200000.0,2014.0,86800000.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7.1,239264.0,"Jun 27, 2014",Snowpiercer,40.0,4.0,88.0,84.0,"[action, sci-fi, drama]"
974,gerry,tt1708473,Gerry,Gerry,2011,131.0,Biography,56,2003-02-14,Gerry,7000000,254683,719699,465016,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.8,298.0,,,,,,,
975,drive,tt1709105,Drive,Drive,2010,55.0,Documentary,36,2011-09-16,Drive,15000000,35060689,81357930,46297241,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.3,20.0,"Sep 16, 2011",Drive,15.0,35.0,81.0,46.0,"[drama, action, thriller, crime]"
976,the last days on mars,tt1709143,The Last Days on Mars,The Last Days on Mars,2013,98.0,"Adventure,Horror,Sci-Fi",25,2013-12-06,The Last Days on Mars,10600000,24084,261364,237280,,,,,,,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5.5,33137.0,,,,,,,
977,joyful noise,tt1710396,Joyful Noise,Joyful Noise,2012,118.0,"Comedy,Drama,Music",86,2012-01-13,Joyful Noise,27500000,30932113,31157914,225801,Joyful Noise,WB,30900000.0,226000.0,2012.0,31126000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5.8,7575.0,"Jan 13, 2012",Joyful Noise,27.0,30.0,31.0,1.0,"[comedy, music]"
978,office christmas party,tt1711525,Office Christmas Party,Office Christmas Party,2016,105.0,Comedy,81,2016-12-09,Office Christmas Party,45000000,54767494,91323299,36555805,Office Christmas Party,Par.,54800000.0,59700000.0,2016.0,114500000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.8,59253.0,"Dec 9, 2016",Office Christmas Party,45.0,54.0,91.0,37.0,[comedy]
979,alex cross,tt1712170,Alex Cross,Alex Cross,2012,101.0,"Action,Crime,Mystery",100,2012-10-19,Alex Cross,35000000,25888412,35426759,9538347,Alex Cross,LG/S,25900000.0,8700000.0,2012.0,34600000.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,5.1,30951.0,"Oct 19, 2012",Alex Cross,35.0,25.0,35.0,10.0,"[action, thriller, crime, mystery]"
980,triple 9,tt1712261,Triple 9,Triple 9,2016,115.0,"Crime,Thriller",33,2016-02-26,Triple 9,20000000,12639297,25943792,13304495,Triple 9,ORF,12600000.0,10500000.0,2016.0,23100000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6.3,60369.0,"Feb 26, 2016",Triple 9,20.0,12.0,25.0,13.0,"[action, thriller, mystery]"
981,upside down,tt1713561,Upside Down,Upside Down,2011,,Drama,4,2013-03-15,Upside Down,50000000,102118,26387039,26284921,Upside Down,MNE,105000.0,8000000.0,2013.0,8105000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.7,6.0,,,,,,,
982,the spectacular now,tt1714206,The Spectacular Now,The Spectacular Now,2013,95.0,"Comedy,Drama,Romance",22,2013-08-02,The Spectacular Now,2500000,6852971,6916951,63980,The Spectacular Now,A24,6900000.0,,2013.0,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7.1,133887.0,,,,,,,
983,in the land of blood and honey,tt1714209,In the Land of Blood and Honey,In the Land of Blood and Honey,2011,127.0,"Drama,Romance,War",10,2011-12-23,In The Land of Blood and Honey,13000000,303877,509193,205316,In the Land of Blood and Honey,FD,304000.0,,2011.0,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.4,32776.0,,,,,,,
984,weekend,tt1714210,Weekend,Weekend,2011,97.0,"Drama,Romance",43,2011-09-23,Weekend,190000,484592,1577585,1092993,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.6,25424.0,,,,,,,
985,anna,tt1715336,Anna,Anna,2013,99.0,"Drama,Mystery,Sci-Fi",64,2014-06-06,Anna,4357373,0,1200000,1200000,Anna,VE,4300.0,,2014.0,,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.5,19733.0,,,,,,,
