,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,release_date,runtime_minutes,studio,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western
1730,Rio 2,130.0,131.0,492.0,361.0,4/11/2014,101.0,Fox,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1740,The Intern,40.0,75.0,197.0,122.0,9/25/2015,121.0,WB,"Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1746,Runner Runner,30.0,19.0,60.0,41.0,10/4/2013,88.0,Fox,"Crime,Thriller",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1747,The Disappointments Room,15.0,2.0,3.0,1.0,9/9/2016,85.0,Rela.,"Drama,Horror,Thriller",False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1749,Need for Speed,66.0,43.0,194.0,151.0,3/14/2014,132.0,BV,"Action,Crime,Thriller",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1758,Deliver Us from Evil,30.0,30.0,87.0,57.0,7/2/2014,118.0,SGem,"Horror,Mystery,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1771,Dark Skies,3.0,17.0,27.0,10.0,2/22/2013,97.0,W/Dim.,"Horror,Sci-Fi,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
1772,Delivery Man,22.0,30.0,70.0,40.0,11/22/2013,105.0,BV,"Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1777,Oculus,5.0,27.0,44.0,17.0,4/11/2014,104.0,Rela.,"Horror,Mystery",False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1781,Enough Said,8.0,17.0,25.0,8.0,9/18/2013,93.0,FoxS,"Comedy,Drama,Romance",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1786,Avengers: Age of Ultron,330.0,459.0,1403.0,944.0,5/1/2015,141.0,BV,"Action,Adventure,Sci-Fi",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1788,The Homesman,16.0,2.0,8.0,6.0,11/14/2014,122.0,Saban,"Drama,Western",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1789,Smurfs: The Lost Village,60.0,45.0,197.0,152.0,4/7/2017,90.0,Sony,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1795,The November Man,15.0,25.0,34.0,9.0,8/27/2014,108.0,Rela.,"Action,Crime,Thriller",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1800,The Green Inferno,1.0,7.0,12.0,5.0,9/25/2015,100.0,BH Tilt,"Adventure,Horror",False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1805,Gods of Egypt,140.0,31.0,138.0,107.0,2/26/2016,127.0,LG/S,"Action,Adventure,Fantasy",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1808,Woman in Gold,11.0,33.0,58.0,25.0,4/1/2015,109.0,Wein.,"Biography,Drama,History",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1810,The Heat,43.0,159.0,229.0,70.0,6/28/2013,117.0,Fox,"Action,Comedy,Crime",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1815,Atomic Blonde,30.0,51.0,98.0,47.0,7/28/2017,115.0,Focus,"Action,Mystery,Thriller",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1833,Philomena,12.0,37.0,98.0,61.0,11/22/2013,98.0,Wein.,"Biography,Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1834,Project Almanac,12.0,22.0,32.0,10.0,1/30/2015,106.0,Par.,"Drama,Mystery,Sci-Fi",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
1838,Taken 3,48.0,89.0,327.0,238.0,1/9/2015,108.0,Fox,"Action,Thriller",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1847,And So It Goes,18.0,15.0,17.0,2.0,7/25/2014,94.0,CE,"Comedy,Drama,Romance",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1853,Paranormal Activity: The Ghost Dimension,10.0,18.0,77.0,59.0,10/23/2015,88.0,Par.,"Horror,Mystery,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1854,Get on Up,30.0,30.0,33.0,3.0,8/1/2014,139.0,Uni.,"Biography,Drama,Music",False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1855,Paranormal Activity: The Marked Ones,5.0,32.0,90.0,58.0,1/3/2014,84.0,Par.,"Horror,Mystery,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
